Modelo,Ganancia DC (V/V),Impedancia Entrada (Ohms),Impedancia Salida (Ohms),Vcc Max (V),Vee Min (V),Caída Saturación Positiva (V),Caída Saturación Negativa (V),GBW (MHz),Slew Rate (V/us),Corriente Salida Max (mA),Ruido de Voltaje de Entrada (nV/√Hz),Voltaje Offset de Entrada (mV),Corriente Polarización de Entrada (nA),CMRR (dB),Frecuencia Segundo Polo (MHz),Categoría
LM741,2e5,2e6,75,22,-22,2.0,2.0,1.0,0.5,25,40,1,80,90,1.5,Propósito General
TL081,2e5,1e12,100,18,-18,1.5,1.5,3.0,13,20,18,3,0.03,86,5,Propósito General (JFET)
TL071,2e5,1e12,100,18,-18,1.5,1.5,3.0,13,20,18,3,0.03,86,5,Propósito General (JFET)
LM358,1e5,2e6,300,32,0,1.5,0.02,1.0,0.5,40,40,2,45,80,2,Fuente Simple
NE5532,1e5,3e5,100,22,-22,2.0,2.0,10,9,38,5,0.5,200,100,20,Audio / Bajo Ruido
MCP601,1e4,1e13,300,6.0,0,0.025,0.025,2.8,2.3,22,29,2,0.001,80,5,Rail-to-Rail
OP07,5e5,5e7,60,22,-22,2.0,2.0,0.6,0.3,15,10,0.03,1,110,1.2,Precisión
OP27,1.5e6,4e6,70,22,-22,2.0,2.0,8,2.8,20,3,0.025,15,114,15,Precisión / Bajo Ruido
AD8628,3e6,1e12,100,5.5,0,0.01,0.01,2.5,1,30,22,0.001,0.03,120,5,Precisión (Zero-Drift)
LT1028,7e6,1e9,40,18,-18,1.5,1.5,75,11,30,0.85,0.02,25,120,150,Ultra Bajo Ruido
AD797,1e6,1e8,50,18,-18,1.5,1.5,110,20,50,0.9,0.04,250,120,220,Ultra Bajo Ruido
OPA2134,1e6,1e13,10,18,-18,1.2,1.2,8,20,35,8,0.5,0.005,100,16,Audio de Alta Fidelidad
AD8009,3e3,5e5,15,6,-6,1.5,1.5,1000,5500,175,1.9,2,50000,80,2000,Alta Velocidad (>100MHz)
LMH6702,5e3,1e6,15,6,-6,1.2,1.2,1700,3100,80,1.8,1,15000,80,3000,Alta Velocidad (>100MHz)
THS3001,1e4,1e6,10,16.5,-16.5,1.5,1.5,420,6500,100,1.6,1,2000,80,1000,Alta Velocidad (>100MHz)
L272,5e4,1e5,1,28,0,1.5,1.5,0.3,1,1000,20,10,1000,70,1,Alta Corriente / Potencia
OPA541,5e4,1e11,0.1,40,-40,3.5,3.5,1.6,10,5000,40,1,0.04,90,3,Alta Corriente / Potencia
LM3886,1e5,2e6,0.1,42,-42,3.0,3.0,8,19,7000,2.0,1,200,110,20,Audio Potencia / Alta Corriente
LT1210,1e4,1e6,10,18,-18,1.5,1.5,35,900,1100,5,3,1000,80,100,Corriente Rápida / Amplificador de Línea
